Date,Open,High,Low,Close*,Adj Close**,
7/15/22,"3,818.00","3,863.62","3,817.18","3,863.16","3,863.16",
7/14/22,"3,763.99","3,796.41","3,721.56","3,790.38","3,790.38",
7/13/22,"3,779.67","3,829.44","3,759.07","3,801.78","3,801.78",
7/12/22,"3,851.95","3,873.41","3,802.36","3,818.80","3,818.80",
7/11/22,"3,880.94","3,880.94","3,847.22","3,854.43","3,854.43",
7/8/22,"3,888.26","3,918.50","3,869.34","3,899.38","3,899.38",
7/7/22,"3,858.85","3,910.63","3,858.85","3,902.62","3,902.62",
7/6/22,"3,831.98","3,870.91","3,809.37","3,845.08","3,845.08",
7/5/22,"3,792.61","3,832.19","3,742.06","3,831.39","3,831.39",
7/1/22,"3,781.00","3,829.82","3,752.10","3,825.33","3,825.33",
6/30/22,"3,785.99","3,818.99","3,738.67","3,785.38","3,785.38",
6/29/22,"3,825.09","3,836.50","3,799.02","3,818.83","3,818.83",
6/28/22,"3,913.00","3,945.86","3,820.14","3,821.55","3,821.55",
6/27/22,"3,920.76","3,927.72","3,889.66","3,900.11","3,900.11",
6/24/22,"3,821.75","3,913.65","3,821.75","3,911.74","3,911.74",
6/23/22,"3,774.71","3,802.58","3,743.52","3,795.73","3,795.73",
6/22/22,"3,733.89","3,801.79","3,717.69","3,759.89","3,759.89",
6/21/22,"3,715.31","3,779.65","3,715.31","3,764.79","3,764.79",
6/17/22,"3,665.90","3,707.71","3,636.87","3,674.84","3,674.84",
6/16/22,"3,728.18","3,728.18","3,639.77","3,666.77","3,666.77",
6/15/22,"3,764.05","3,837.56","3,722.30","3,789.99","3,789.99",
6/14/22,"3,763.52","3,778.18","3,705.68","3,735.48","3,735.48",
6/13/22,"3,838.15","3,838.15","3,734.30","3,749.63","3,749.63",
6/10/22,"3,974.39","3,974.39","3,900.16","3,900.86","3,900.86",
6/9/22,"4,101.65","4,119.10","4,017.17","4,017.82","4,017.82",
6/8/22,"4,147.12","4,160.14","4,107.20","4,115.77","4,115.77",
6/7/22,"4,096.47","4,164.86","4,080.19","4,160.68","4,160.68",
6/6/22,"4,134.72","4,168.78","4,109.18","4,121.43","4,121.43",
6/3/22,"4,137.57","4,142.67","4,098.67","4,108.54","4,108.54",
6/2/22,"4,095.41","4,177.51","4,074.37","4,176.82","4,176.82",
6/1/22,"4,149.78","4,166.54","4,073.85","4,101.23","4,101.23",
5/31/22,"4,151.09","4,168.34","4,104.88","4,132.15","4,132.15",
5/27/22,"4,077.43","4,158.49","4,077.43","4,158.24","4,158.24",
5/26/22,"3,984.60","4,075.14","3,984.60","4,057.84","4,057.84",
5/25/22,"3,929.59","3,999.33","3,925.03","3,978.73","3,978.73",
5/24/22,"3,942.94","3,955.68","3,875.13","3,941.48","3,941.48",
5/23/22,"3,919.42","3,981.88","3,909.04","3,973.75","3,973.75",
5/20/22,"3,927.76","3,943.42","3,810.32","3,901.36","3,901.36",
5/19/22,"3,899.00","3,945.96","3,876.58","3,900.79","3,900.79",
5/18/22,"4,051.98","4,051.98","3,911.91","3,923.68","3,923.68",
5/17/22,"4,052.00","4,090.72","4,033.93","4,088.85","4,088.85",
5/16/22,"4,013.02","4,046.46","3,983.99","4,008.01","4,008.01",
5/13/22,"3,963.90","4,038.88","3,963.90","4,023.89","4,023.89",
5/12/22,"3,903.95","3,964.80","3,858.87","3,930.08","3,930.08",
5/11/22,"3,990.08","4,049.09","3,928.82","3,935.18","3,935.18",
5/10/22,"4,035.18","4,068.82","3,958.17","4,001.05","4,001.05",
5/9/22,"4,081.27","4,081.27","3,975.48","3,991.24","3,991.24",
5/6/22,"4,128.17","4,157.69","4,067.91","4,123.34","4,123.34",
5/5/22,"4,270.43","4,270.43","4,106.01","4,146.87","4,146.87",
5/4/22,"4,181.18","4,307.66","4,148.91","4,300.17","4,300.17",
5/3/22,"4,159.78","4,200.10","4,147.08","4,175.48","4,175.48",
